code_cycle;titre_memoire
IC;Conservation des aubergines (Solanum aethiopica) par séchage
IC;Configuration des processus opérationnels dans l’unité de production du GIC-JGEPROL
IC;Audit  et actualisation des protocoles de nettoyage des équipements de SOGOPROCAM
IC;Évaluation des méthodes d’analyse de  Camlait-Bassa  et détermination de quelques paramètres physico-chimiques du lait.
IC;Conception et dimensionnement de la chaîne de production de boisson aromatisée au lait : cas de GOLDLAIT
IC;Efficacité comparée des désinfectants utilisés pour le nettoyage en place : Cas de CAMLAIT
IC;Mise à jour des sites de production des brasseries du Cameroun, conformément aux standards qualités de la firme Heineken : Cas des usines de Douala
IC;Amélioration du procédé d’extraction de l’huile de poisson de quelques localités de l’Extrême-Nord
IC;Évaluation et maîtrise des pertes incompressibles en soja (graines et jus) sur la chaîne de production de CAMLAIT Ndokoti.
IC;Mise en place d’une organisation rationnelle du système de production à BIOTROPICAL SA
IC;Mise en place d’un plan d’hygiène et HACCP lors de la fabrication des jus vimbo à SOGOPROCAM
IC;Réduction des coûts de non qualité au cours de la production des boissons aromatisées à la Société Golden Product Cameroon
IC;Évaluation  de l’impact de la non-conformité en production de la boisson tampico
IC;L’impact de l’utilisation de la fumure organique dans la lutte contre la pauvreté en zone cotonnière camerounaise
IC;Encadrement des OP par la SEMRY, cas de la restructuration des GIC en coopératives rizicoles dans le périmètre de secteur Yagoua
IC;Structuration des producteurs de niébé et gestion des risques de marché dans le département du Mayo-Sava 
IC;Contribution du conseil technico-économique au développement des groupements des producteurs et des EFA dans le Département de la Bénoué (Nord-Cameroun)
IC;Stratégies d’adaptation des exploitations familiales agricoles face aux changements climatiques
IC;Impact du financement des activités agricoles des OP et amélioration des conditions de vie des membres : cas de Maroua Ier
IC;Incidence de la filière arachide sur le revenu des producteurs dans la sous-préfecture de Koumogo (Tchad)
IC;Bénéfice économique d’une jachère améliorée arborée d’Acacia senegalensis dans les exploitations familiales agricoles
IC;Analyse des résiliences des exploitations familiales agricoles dans les agrosystèmes du Nord : cas de Zéra, Zanguéré, Moho et Sirlawé
IC;Analyse des performances économiques des exploitations agricoles familiales dans les agrosystèmes du Nord : cas de Mowo, Sirlawé, Sanguéré et Zéra
IC;Les déterminants de l’adoption de l’innovation par les exploitations agricoles familiales dans l’agrosystème du Nord : cas de Mowo, Sirlawé, Sanguéré et Zéra
IC;Caractérisation phénotypique des caprins de Guider
IC;Caractérisation phénotypique des caprins de Mindif
IC;Influence  de la complémentation alimentaire sur production laitière  et détermination de quelques paramètres  physico-chimiques  des laits  collectés dans la ferme «  Farcha lait » à Njamena
IC;Effet d’une alimentation enrichie en feuilles du Chromolaena odorata et du Leucaena leucocephala sur les performances de croissance et survie du tilapia
IC;Performances pondérales des canards
IC;Présélection des vaches de race Fulani rouge pour la production laitière dans la région de l’Extrême-Nord
IC;Étude des performances zootechniques des ovins kababich dans la région du Ouadda
IC;Impact des canaux de pêche sur le pastoralisme dans la plaine d’inondation du Logone (Extrême-Nord, Cameroun)
IC;Effet de l’incorporation du Moringa oleifira sur les performances de croissance des lapins
IC;Caractérisation technique et économique de l’élevage des bovins à la station zootechniques de Wakwa
IC;Étude comparée de la croissance larvaire suite à l’utilisation des hormones de synthèses (suprefact + Motilium) et l’hormone hypophysaire chez Clarias gariepinus
IC;Évaluation du processus de la préparation des vaches locales à l’insémination artificielle
IC;Effet de la substitution de la farine de poisson par la farine d’asticot séché sur les performances de croissance des alevins de Clarias garegunis
IC;Impact de la paille traité à l’urée sur la croissance des ruminants
IC;Effet de l’amélioration de l’alimentation et performance sur la croissance pondérale chez les cobayes (Cavia porcellus)
IC;Effet d’une alimentation biphasée sur les performances de production de Cobb500
IC;Évaluation  d’une méthode de lutte biologique sur le rendement du riz dans un agrosystème irrigué dans l’Extrême-Nord, Cameroun
IC;Amélioration de la croissance des plantes de cacaoyer (Theobroma cacao L.) en pépinière par les biofertilisants 
IC;Évaluation génétique de la résistance de trois variétés locales de niébé (Vigna unguiculata) au striga au Cameroun
IC;Étude des performances agro morphologiques de cinq variétés de riz Nérica dans la zone des hautes savanes guinéennes Cameroun et proposition d’amélioration variétale
IC;Développement et application des marqueurs moléculaires pour la mise au point des variétés de niébé (Vigna unguiculata) résistants aux pucerons (A. croccivora)
IC;Rapid propagation of Manihot esculenta using the mini stakes multiplication technic
IC;Diagnostic participatif pour la lutte contre les insectes en champ du niébé : cas des insectes des fleurs
IC;Évaluation de l’effet de 8 fumures organiques sur le développement du poivrier (Piper nigrum) en pépinière
IC;Caractérisation génétiques de la population des lignées F1 et BC1 de trois variétés locales de niébé (Vigna unguiculata) du Cameroun
IC;Vegetative growth Performance of oil palm seedlings, in response to organic and inorganic fertilizer
IC;Évaluation des performances agronomiques des variétés hybrides de maïs issues de l’IITA avec une variété hybride locale dans la zone agro-écologique à Bertoua Est-Cameroun
IC;Collecte et caractérisation des accessions de manioc au Cameroun
IC;Effets de la densité de semis sur les caractères agro-morphologiques de deux variétés de soja (Glycine max (L)) dans les agrosystèmes de Mokolo
IC;Étude génétique de la résistance des fleurs de niébé aux thrips
IC;Performance qualité des bières S.A.B.C : First Time Right (FTR)
IC;Valorisation des sorghos SP (Sorghum bicolor L. Moench) en panification
IC;Ameliorating the organoleptic and rheological properties of NEIMA tomato by use food additives and appropriate operating conditions in SAGRI SA
IC;Conception d’un système d’assurance qualité hygiénique des produits « c’ bon »   et «  bonatura » pour l’obtention de l’agrément du Ministère de la Santé : méthode  HACCP 
IC;Amélioration du suivi des chaînes de production du yaourt « Tino » et des boissons tampico à la First African Company (FAC).
IC;Étude de la mise en place du processus de démarche qualité dans l’usine sahel agro (Maroua, Extrême-Nord, Cameroun)
IC;Effets du stockage sur les caractéristiques physico-chimiques de la farine de maïs au sein de l’usine sahel agro (Maroua, Extrême-Nord Cameroun).
IC;Développement d’un nouveau produit dans une société de charcuterie (MADA) : cas du saucisson à base de viande de poulet
IC;Contribution à la mise en place d’une démarche HACCP dans la structure Manfouo David (MADA) : cas du yaourt à boire
IC;Optimisation de l’utilisation des emballages et évaluation des pertes en emballages dans le conditionnement  du yaourt brassé tino et boisson tampico
IC;Production de biscuit à base de sorgho muskwari
IC;Amélioration et la maîtrise de la coloration des bières 33 export, castel et beaufort. 
IC;La veille et conformité réglementaire de l'unité de production de SAGRI (SOACAM Agro-industries)
IC;Identification, analyse et maîtrise des causes de non qualité de la production de la farine de blé : cas de la SCTB.
IC;Étude de la variabilité de l’acidité du beurre de cacao pendant le stockage
IC;Amélioration de la viabilité de la levure
IC;Influence de la saturation des huiles sur la qualité du savon.
IC;Évaluation des pertes en matière et énergie tout au long de la chêne de production du savon promo2 au CCO.SA et optimisation du rendement
IC;"Contribution à l’élaboration d’un modèle de Bilan CO2 à la Société Anonyme des Brasseries du Cameroun (S.A.B.C) usine de Yaoundé : Évaluation de la production dans les bio-fermenteurs, de la Consommation dans les ateliers de fermentation et de Brassage; et saturation de la bière."
IC;Conception et Dimensionnement d’une ligne de production de jus à deux conditionnements.
IC;Thème: amélioration de la brillance et du ph des bières à la SABC de Bafoussam.
IC;Influence du stockage sur la qualité microbiologique de la farine de maïs produite à l’usine Sahel-agro (Maroua, Extrême-Nord, Cameroun).
IC;Mise en place d'un plan de maîtrise sanitaire en rapport avec les référentielles a l'établissement MADA
IC;Contribution à la mise sur pied d'un système de management de la qualité au CCO selon le référentiel ISO 9001.
IC;Conception, dimensionnement et réalisation d’un  bioréacteur pour  la production de la bière de sorgho « bili-bili».
IC;Diagnostic de réalisation et d’analyse d’impact socio-économique de l’introduction de la pisciculture et de l’embouche bovine dans les périmètres des rizicoles de la SEMRY: Cas des bassins rizicoles de Yagoua,kai-kai et Maga
IC;Évaluation de l’épargne rurale et de l’accès au microcrédit sur la solidité financière des agriculteurs dans le Mayo Tsanaga
IC;Analyse socio-économique de la réhabilitation des mares naturelles dans la plaine inondable du Logone à l'Extrême-Nord du Cameroun : cas des localités  LAHAÏ et ZINA
IC;Évaluation des sous projet PACA de production animal de la Région de l’Extrême-Nord : Mayo-Danay, Mayo-Kani, Diamaré
IC;Rôles des organisations agropastorales dans le développement de l’économie du secteur élevage dans le Mayo-kani
IC;Impact socio-économique du programme ACEFA sur les groupements du Diamaré
IC;Niveau d’adoption des innovations par les exploitations familiales agricoles dans les agrosystèmes du Nord : Cas des terroirs Sanguéré-Paul et Zéra
IC;La gestion du crédit agricole et ses enjeux pour l’autonomisation de la femme rurale : cas des femmes mutualistes de la MC2 Bafoussam rural
IC;Contribution des activités extra-agricole aux revenus des exploitations agricoles familiale
IC;Impact de la structuration en filière des exploitants agricoles du Diamaré sur l’agriculture familiale
IC;Catégorisation des exploitations agricoles et systèmes de production de Soja dans le Mayo-Tsanaga
IC;Impact du conseil collectif sur l’amélioration des revenus des exploitations familiales agricoles membre des organisations paysannes mise en œuvre par ACEFA dans l’arrondissement de Dschang
IC;Pratique de gestion dans connaissances des organisations paysannes dans le département du Diamaré
IC;Impact économique du dépérissement en tubercule de manioc au sein des organisations paysannes : cas des bassins de production de Meiganga et de Dir
IC;Contribution des organisations paysannes pour l’amélioration du rendement agricole
IC;Analyse de la filière Morelle africaine de Njombé-Pendja : atouts et contraintes au développement
IC;Contribution aux développements socio-économiques des plants issus des fragments des tiges et comparaison avec autres méthodes de production de semence de bananier et plantain
IC;Impact du financement du CDD sur les groupements des producteurs dans le Diamaré
IC;Analyse des risques liés au développement de la filière soja dans le Mayo Tsanaga
IC;La filière karité et son influence sur le revenu des acteurs : cas des bassins de production des communes de Garoua 3 et Tcheboa Ngong dans la Région du Nord-Cameroun
IC;Évaluation de l’appui conseil au niveau des groupements de producteurs accompagnés par ACEFA de 2013-2015 dans le département du Mayo-Kani
IC;Évaluation socio-économique des systèmes d’exploitation familiale de la grande Mifi
IC;Contribution du financement par fond rotatif sur le revenu des ménages
IC;Pratiques et stratégies des éleveurs pour l’amélioration de l’aliment du bétail dans le Département du Mayo-Kani : cas des Arrondissements de Mindif, Moulvoudaye et Kaélé.
IC;Impact de la maladie de Newcastle sur la production de poulet locale : cas de l’Arrondissement de Touloum.
IC;Caractéristiques socio-économiques et techniques de l’élevage des Petits Ruminants dans le Département du Diamaré (Région de l’extrême-Nord Cameroun).
IC;Effet de la substitution de la farine de poisson par la farine de sang sur les performances de croissance et de survie des juvéniles de Clarias gariepinus.
IC;Influence des paramètres physico-chimiques de l’eau sur la production des alevins de Clarias gariepinus : cas de la ferme aquacole du septentrion.
IC;Évaluation des pertes zootechniques en production porcine : cas de la ferme porcine NOTIKA Bafoussam.
IC;Caractéristiques bromatologiques des farines de poisson au Cameroun et leurs effets sur les performances zootechniques des poulets de chair.
IC;Suivi et évaluation des performances techniques d’une ferme avicole.
IC;Effet de la substitution partielle de la farine de poisson par la farine d’asticot dans l’alimentation des poulets de chair en finition : performances zootechniques, caractéristique de la carcasse, résultat économique.
IC;Évaluation de l’effet de renouvellement de l’eau sur la survie et la croissance des larves et des alevins de Clarias gariepinus en circuit ouvert : cas de l’écloserie du GIC Aquaculture intégré de l’Ouest.
IC;Effet du charbon actif des coques de noix de coco sur les performances zootechniques et la qualité de la carcasse des poulets de chair.
IC;Effet d’incorporation du contenu du rumen séché dans l’alimentation sur les performances des lapins (Oryctogalus cuniculus) en croissance à la ferme de la fondation Bethléem de Mouda.
IC;Influence de la combinaison d’un phytoadditif (Allium cepa) au 17 alpha nethyl testorne sur la réversion sexuelle et les performances  de croissance et de survie chez Oreochromis niloticus.                                                                                                                                                                                                      
IC;Performance des ovins Oudah alimenté à partir du son de riz de l’Extrême –Nord Cameroun. 
IC;Insémination artificielle de Clarias gariepinus et sa gestion au stade larvaire et d’alevinage.
IC;Caractérisation phénotypiques des porcs locaux et influence de l’alimentation sur leur productivité à Garoua.
IC;Impacts de la provenance des animaux de boucherie sur la qualité de la viande : cas des abattoirs de la ville de Maroua.
IC;Effet de l’incorporation de la fane d’arachide dans l’alimentation sur les performances zootechniques des lapins (Oryctogalus cuniculus)en croissance à la ferme de la Cathédrale Notre Dame de Maroua.
IC;Caractérisation et migration de quelques espèces de poissons durant l’année dans le lac de Maga, des fleuves Logone, Loromé, Logomatya dans la région Extrême-Nord.
IC;Amélioration des performances des vaches laitières locales par insémination artificielle : contraintes, avantages, inconvénients.
IC;Organisation et évaluation des paramètres zootechniques d’une ferme porcine : cas de la ferme porcine NOTIKA Bafoussam.
IC;Étude corrélative entre l’eau de boisson distribuée aux poules et leurs maladies à PROLACAM : cas de la ferme de BALENG II.
IC;Le dépérissement des agrumes dans la région de l'Adamaoua
IC;Problématique d’adoption des variétés NERICA dans les périmètres irrigués du Logone et Chari
IC;Étude de la performance agronomique des nouvelles variétés du coton par rapport à celles qui sont en culture
IC;Optimisation de la densité de repiquage du sorgho (Sorghum bicolor) de saison sèche dans               la région de l’Extrême- Nord Cameroun.
IC;Évaluation de l’incidence des attaques fongiques sur le processus de production des géniteurs de cacao à la station polyvalente de recherche agricole de Nkoemvone
IC;Évaluation  de l’efficacité du programme de protection phytosanitaire contre  les ravageurs du cotonnier  au Cameroun. 
IC;Essai d'introduction et d'évaluation variétale de quinoa 
IC;Évaluation de l’aptitude au bouturage de 4 géniteur de cacaoyer (snk16.ics46.up a 143.t79/501) par variation du type de bouture de l’emploi de différente dose d’une hormone rhizogène au spran/fodecc de Nkoemvone
IC;L’impact de la cendre des feuilles de neem  sur la croissance de trois variétés de sorgho (variété locale, S 34, CS 54).
IC;Test du comportement du soja(Glycine max) à un apport de chaux sur sol acide dans la localité de Mangoun à Foumbot
IC;Effet des dates de semis sur le rendement de cinq (05) variétés d’ haricot commun (Phaseolus vulgaris) nouvellement introduites dans la localité de Njombé
IC;Adaptabilité de cinq (05) variétés d’ haricot commun (Phaseolus vulgaris) dans la localité de Njombé
IC;Influence de la date de semis et de repiquage sur la production d'oignon dans le Diamaré
IC;Adaptabilité de six variétés de haricot volubille à l’Extrême-Nord
IC;Effet de la fertilisation des résidus agricoles sur la croissance et le rendement du mil
IC;Caractérisation phénotypique de Faidherbia albida en zone Soudano-Sahélienne du Cameroun
IC;Effet des différents types de fertilisation sur le rendement du sorgho dans la zone Sud-Ouest de la Bénoué région du Nord-Cameroun
IC;Évaluation de l’effet de quelques fongicides sur pestalotiopsis microspora, agent causal de la maladie des feuilles d’hévéa dans la région du Sud-Ouest Cameroun
IC;Évaluation de l'incidence de la Mosaïque Africaine de Manioc sur deux variétés de manioc en association avec le maïs dans la région du centre Cameroun
IC;Caractérisation agro-morphologique de quelques variétés de haricot nain (Phaseolus vulgaris) dans la région de l'Extrême-Nord Cameroun
IC;Test de pathogénicité et d’agressivité de quelques souches de Fusarium oxysporum prélavées des palmiers à huile de la CDC
IC;Impact des pratiques culturales sur l’évolution du carbone organique des sols: Cas des localités de Meskine et Guyring (Maroua, Extrême-Nord Cameroun)
IC;Effet des divers traitements auxiniques sur le comportement du cacaoyer multiplié par la technique de bouturage direct sous tunnel plastique
IC;Contribution à la maîtrise des causes de non-conformité de ph des bières finies à la SABC de Garoua
IC;Preparation and quality evaluation of non-alcoholic sorghum malt drink
IC;Production de la farine de sevrage a base du sorgho malte et détermination des paramètres physicochimiques
IC;Production de la farine de manioc et introduction comme farine de substitution en boulangerie à N’Djamena (Tchad) 
IC;Conservation de stock des céréales dans les entrepôts des tailles moyennes, le cas de l’office national de sécurité alimentaire (ONASA) de N’Djamena
IC;Conception et dimensionnement d’un four solaire pour la fabrication du pain et biscuit à base de sorgho
IC;Déficit des fonctionnalités équipement de régulation des paramètres de séchage et impact sur la chaîne de production
IC;Caractérisation physico-chimique et nutritionnelle des biscuits produits à base des farines composites amande de mangue (Mangifera indica) – blé
IC;Influence de l’élimination des anti-nutriments des amandes de mangues sur les leurs propriétés physico-chimiques et fonctionnelles
IC;Caractérisation nutritionnelle d’un biscuit de riz enrichi à la pulpe de baobab
IC;Valorisation des sous-produits de la transformation du manioc en amidon dans la production de la farine pour diabétiques à la STM
IC;Réduction du rassissement du pain en utilisant les farines d’amandes de mangues (Mangifera indica) et les paramètres de procédé de fabrication du pain
IC;Influence des améliorants sur la rhéologie de la pâte à pain et impact sur la panification
IC;Suivi, maîtrise opérationnelle et proposition des solutions pour l’amélioration des performances environnementales de la SOCAPALM de Nkapa
IC;Amélioration de la qualité des yaourts par la maîtrise statistique des procédés à CAMLAIT.SA
IC;Amélioration et maîtrise des freintes de bières en caves à la SABC de Garoua
IC;Suivi et évaluation de la qualité et sécurité sanitaire des denrées alimentaires : cas de l’élimination des contaminants dans le raffinage de l’huile de palme
IC;Production de saucisson de poisson substituée au bœuf dénommé « saucisson MADA »
IC;Formulation et caractérisation de 3 pains de mie fonctionnels au son de maïs, sorgho et riz
IC;Optimisation de la capacité journalière de raffinage d’huile de palme brute soruor au sein de la Soproicam.
IC;Extraction des protéines de soja (glycine max) et production artisanale de jambon de soja à IAO
IC;Optimisation de la chaîne de production de laiterie de CAMLAIT / Usine de Bassa
IC;Appui conseil et la professionnalisation des organisations paysannes : cas des organisations paysannes accompagnées par le programme ACEFA dans l’arrondissement de Maroua 1er, 2e  et 3e
IC;Analyse de la pertinence du financement ACEFA et évaluation de ses effets sur les groupements de producteurs dans le département du Mayo-Kani Extrême-Nord Cameroun
IC;Impact socio-économique des crédits agro-pastoraux  sur les bénéficiaires en zone rurale : cas de l'UCEC-CDD
IC;Évaluation socio-économique des EFA de l’observatoire du programme ACEFA dans le cadre de l’appui conseil : cas de quelques arrondissements du Diamaré
IC;Contribution du système cotonnier aux revenus des exploitations familiales
IC;Analyse de la rentabilité au sein  des organisations des producteurs agropastoraux dans le Mayo-Kani : cas des coopératives
IC;Approches d’assistance aux populations en situation d’urgence et de protection sociale : cas du transfert monétaires 
IC;Évaluation de la contribution du revenu des cultures maraîchères dans le développement des exploitations familiales agropastorales
IC;Analyse du système de commercialisation du fourrage dans le sahel du Cameroun : cas de la ville de Maroua
IC;Rentabilité des exploitations familiales agricoles dans les agro systèmes du Nord : cas des localités de Sanguere-Paul, Zera, Sirlawe et mowo
IC;Analyse des performances technico-économiques des exploitations maraîchères : cas de la tomate dans le Diamaré 
IC;Étude de l’acceptabilité de la technique de culture hors sol : cas de la production de laitue
IC;Essai  d’analyse de l’impact du microcrédit sur la pauvreté : cas des MC2 parrainées par Afriland first bank
IC;Analyse de la filière niébé dans la région de l’Extrême-Nord
IC;Contribution du BELACD-CARITAS LAI dans la mise en œuvre du projet sécurité alimentaire pour un développement socio-économique de la tandjilé (TCHAD) : cas de la riziculture de contre saison
IC;Importance du conseil agricole dans l’accompagnement des organisations paysannes pour la lutte contre l’insécurité alimentaire dans la région de l’Extrême-Nord du Cameroun : cas de la commune de Mokolo
IC;Évaluation de la contribution de l’appui financier au niveau des groupements de producteurs accompagnés par le programme au développement des emplois ruraux
IC;Contribution du conseil technico-économique au développement des groupements  de producteurs : cas du département de la Benoué
IC;Évaluation des effets de l’appui conseil au sein des groupements des producteurs agricoles du Diamaré : cas du programme ACEFA
IC;Evaluating the effects of ACEFA's financial support on the activities of farmers organizations in the Diamaré
IC;Évaluation du conseil agricole dans le développement des activités économiques des exploitations familiales agropastorales : cas de l’observatoire du programme ACEFA
IC;Étude comparative de la rentabilité socio-économique des filières soja et souchet dans le Nord Cameroun : cas de la partie Sud-Ouest du département de la Benoué.
IC;Évaluation des appuis promus par le programme d’appui aux PME agricoles et agroalimentaires (PMEAA) dans la région de l’Ouest Cameroun 
IC;Résistance à la rouille et performance de quelques variétés de soja sur sol amandé aux feuilles de Tithonia diversifolia
IC;Évaluation de la résistance à la sécheresse d’un hybride mutant de niébé 
